title,link,published,description,category,article_id
Gas prices soar as Russia cuts German supply,https://www.bbc.co.uk/news/business-62318376?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 13:21:41 GMT",The Nord Stream 1 pipeline is now operating at just a fifth of its usual capacity.,business,1
McDonald's puts up price of cheeseburger for first time in 14 years,https://www.bbc.co.uk/news/business-62317453?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 13:07:59 GMT",The fast food firm increases the price for the first time in 14 years due to growing cost pressures.,business,2
Train strikes: 'I'm missing the football because I can't get there',https://www.bbc.co.uk/news/business-62309668?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 10:53:22 GMT","Tens of thousands of rail workers are walking out in a dispute over pay, jobs and terms.",business,3
Vow to tackle long waits to make a complaint,https://www.bbc.co.uk/news/business-62308181?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 23:04:12 GMT",The financial regulator says new rules should tackle some of the biggest frustrations for consumers.,business,4
MPs call for debt repayments holiday for benefits claimants,https://www.bbc.co.uk/news/business-62312313?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 03:16:49 GMT","Households struggling through the cost-of-living crisis need some breathing space, MPs say in a report.",business,5
IMF: UK set for slowest growth of G7 countries in 2023,https://www.bbc.co.uk/news/business-62299490?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 16:40:32 GMT","The IMF cuts its UK forecast for 2023 and says the global economy is ""teetering on the edge"" of recession.",business,6
Cost-of-living payments branded insufficient as energy bills soar,https://www.bbc.co.uk/news/business-62291652?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 08:01:14 GMT",A committee of MPs says cost-of-living payments should reflect higher than anticipated energy bills.,business,7
Food banks warn they are struggling to keep up with demand,https://www.bbc.co.uk/news/business-62228972?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 16:00:45 GMT",Research by Radio 4's Money Box into 203 food banks found many are receiving fewer food donations.,business,8
Cost of living: Saving money on our summer holiday,https://www.bbc.co.uk/news/business-62132409?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 23:30:13 GMT",Millions of us are still determined to have a summer getaway but keeping an eye on spending.,business,9
Cost of living: Fuel and clothing at top of family spending cuts,https://www.bbc.co.uk/news/business-62262138?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 11:17:44 GMT",Retailers say record price rises are making households concerned over what they can afford.,business,10
Inflation pushes UK government interest costs in June to fresh record,https://www.bbc.co.uk/news/business-62240775?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 08:03:43 GMT",Interest payments made on government debt hit the highest level on record in June as inflation surged.,business,11
"Inflation: Fuel, milk and eggs push prices up at fastest rate in 40 years",https://www.bbc.co.uk/news/business-62233571?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 12:05:05 GMT","The prices of fuel and food climbed in June, latest figures show.",business,12
UK pay falls at fastest rate on record as inflation hits,https://www.bbc.co.uk/news/business-62218706?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 14:13:32 GMT",Basic pay falls at fastest rate since records began in 2001 when rising prices are taken into account.,business,13
Summer holiday childcare costs: 'I would be paying to work',https://www.bbc.co.uk/news/business-62209941?at_medium=RSS&at_campaign=KARANGA,"Mon, 18 Jul 2022 23:08:11 GMT",New research finds that holiday childcare costs have risen by 5% in the last year.,business,14
New chancellor Nadhim Zahawi pledges to control rising prices,https://www.bbc.co.uk/news/business-62215079?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 19:03:12 GMT","The government will deliver ""sound public finances"", the new chancellor said in a speech at Mansion House.",business,15
EU allows get-out clause in Russian gas cut deal,https://www.bbc.co.uk/news/business-62305094?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 15:26:41 GMT","EU members agree to reduce gas use, but some including Ireland, Malta and Cyprus can seek exemptions.",business,16
Heathrow hits back at 'bizarre' Ryanair criticism,https://www.bbc.co.uk/news/business-62295867?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 12:48:17 GMT",The boss of the UK's largest airport says Ryanair is wrong to blame airports for travel disruption.,business,17
Train strikes: When are they and which trains are running?,https://www.bbc.co.uk/news/business-61634959?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 10:21:14 GMT",Thousands of train drivers and rail workers are striking in July and August.,business,18
Amazon Prime subscription price raised by £1 a month,https://www.bbc.co.uk/news/business-62297014?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 10:02:30 GMT",The £1-a-month rise comes after years in which the streaming service paid millions for football rights.,business,19
Satellite firms Eutelsat and OneWeb aim to combine operations,https://www.bbc.co.uk/news/science-environment-62306617?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 10:58:07 GMT",The French company is set to merge with the satellite firm pulled from bankruptcy by the UK government.,business,20
Cost of living: Walmart issues profit warning as price rises hit,https://www.bbc.co.uk/news/business-62301316?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 04:06:17 GMT",The US retail giant expects its annual profits to fall by up to 13% as food and fuel prices surge.,business,21
Convenience store spy cameras face legal challenge,https://www.bbc.co.uk/news/uk-england-62297546?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 23:03:24 GMT","Big Brother Watch campaigners says the ""Orwellian"" cameras at Southern Co-op shops breach people's rights.",business,22
Train strikes: People told not to travel by rail during walkouts,https://www.bbc.co.uk/news/business-62291452?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 07:38:11 GMT","Only 20% of services will run and some places will have no trains on Wednesday, Network Rail says.",business,23
Ukraine war: Russia waging gas war with Nord Stream 1 cuts - Zelensky,https://www.bbc.co.uk/news/world-europe-62300684?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 05:48:04 GMT",Ukraine's president accuses Moscow of using gas restrictions to inflict misery on ordinary Europeans.,business,24
Fear prevents workers reporting low pay - report,https://www.bbc.co.uk/news/uk-politics-62295472?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 15:43:27 GMT","Employers get away with breaking minimum wage laws by intimidating staff, the Low Pay Commission says.",business,25
Ryanair boss hits out at airports: 'They had one job',https://www.bbc.co.uk/news/business-62289056?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 09:26:59 GMT",Neil Sorahan says airports have not recruited enough staff to cater for the rebound in travellers.,business,26
Evergrande: Crisis-hit property giant faces deadline after bosses quit,https://www.bbc.co.uk/news/business-62287685?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 04:24:53 GMT",The Chinese property firm is expected to deliver a preliminary restructuring plan this week.,business,27
Digital India: How India's digital revolution is connecting millions,https://www.bbc.co.uk/news/world-asia-india-62262512?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 00:44:04 GMT",Access to the internet has transformed the lives of millions in India.,business,28
Football kit sales delayed as supply chain issues hit clubs,https://www.bbc.co.uk/news/business-62256634?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 12:49:28 GMT",Fewer than half of English clubs have both their home and away kits on sale ahead of the new season.,business,29
Eurotunnel and Dover queues: Drivers warned of summer of Channel traffic delays,https://www.bbc.co.uk/news/uk-62289432?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 14:31:17 GMT","This weekend is expected to be ""very busy"" as holidaymakers look to get away to the continent.",business,30
Elon Musk denies affair with Google co-founder Sergey Brin's wife,https://www.bbc.co.uk/news/business-62288139?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 09:44:07 GMT",The technology multi-billionaire's comments came in response to a report in the Wall Street Journal.,business,31
France energy: Air-conditioned shops will be told to shut doors to cut waste,https://www.bbc.co.uk/news/world-europe-62286924?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 19:28:11 GMT",New rules will force shops to keep doors shut when air conditioning is on and limit use of neon signs.,business,32
Gazprom: Nord Stream 1 supply to EU to be cut further,https://www.bbc.co.uk/news/business-62291458?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 21:18:48 GMT",Gazprom announces another drastic cut in supplies as the EU tries to replenish stores for winter.,business,33
Eurotunnel queues: AA says holiday gridlock easing,https://www.bbc.co.uk/news/uk-62281443?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 18:19:28 GMT","Waiting times at the Eurotunnel terminal are ""falling steadily"", the AA says after three days of delays.",business,34
Ukraine war: Russia denies causing global food crisis,https://www.bbc.co.uk/news/world-middle-east-62284377?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 17:34:40 GMT","Its foreign minister, who is in Egypt, says the West is distorting the truth as the Ukraine war rages.",business,35
Rail strikes to go ahead next Wednesday,https://www.bbc.co.uk/news/uk-62272544?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 10:22:51 GMT",The RMT union says walkouts across the network will happen after talks failed to find a breakthrough.,business,36
Truss tax plans accused of breaking spending rules,https://www.bbc.co.uk/news/business-62255081?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 15:40:18 GMT","Tax cut plans mean higher borrowing or lower public spending, or both, says the Institute for Fiscal Studies.",business,37
British Airways staff call off Heathrow strike after 8% pay rise deal,https://www.bbc.co.uk/news/business-62267324?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 14:29:03 GMT",Hundreds of staff at Heathrow were set to strike over the busy summer holiday period.,business,38
"Russia 'looting' steel bound for Europe and UK, says Metinvest boss",https://www.bbc.co.uk/news/business-62252704?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 23:01:33 GMT",A Ukrainian steel boss accuses Russia of stealing metal that had been meant for Europe.,business,39
Twitter spent $33m in three months on Elon Musk deal,https://www.bbc.co.uk/news/technology-62265756?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 12:55:36 GMT",The social network also reported losses in its latest financial figures.,business,40
Cyber-attacks on Port of Los Angeles have doubled since pandemic,https://www.bbc.co.uk/news/business-62260272?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 11:00:10 GMT",The threats to the Port of Los Angeles are believed to come mainly from Europe and Russia.,business,41
Elon Musk's Tesla sells most of its Bitcoin holdings,https://www.bbc.co.uk/news/business-62246367?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 03:07:55 GMT",The announcement comes as the value of the world's biggest cryptocurrency has plunged.,business,42
Snapchat owner hit as advertising slump hits sales,https://www.bbc.co.uk/news/business-62261104?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 09:16:31 GMT",The California-based company is best known for the photo-sharing app Snapchat.,business,43
Eurozone raises interest rates for first time in 11 years,https://www.bbc.co.uk/news/business-62240730?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 16:26:43 GMT",The European Central Bank has raised rates as it tries to tackle soaring eurozone inflation.,business,44
Nord Stream: Key Russian pipeline resumes pumping gas to Europe,https://www.bbc.co.uk/news/world-europe-62249015?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 16:23:08 GMT",There had been fears Moscow would not restart flows in response to sanctions over the Ukraine war.,business,45
China ride-hailing giant Didi fined $1.2bn after probe,https://www.bbc.co.uk/news/business-62248513?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 06:59:51 GMT",The country's cyber security watchdog launched a probe into the firm just days after its US listing.,business,46
Refuelling staff to stage three-day strike at Heathrow,https://www.bbc.co.uk/news/business-62219559?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 17:01:40 GMT",Workers employed by Aviation Fuel Services will walk out on Thursday and down tools until Sunday.,business,47
Baidu unveils new self-driving taxi in China,https://www.bbc.co.uk/news/technology-62237612?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 02:06:59 GMT",Baidu says its latest robo-taxi has the road skills of a driver with 20 years' experience.,business,48
Payouts for victims of sweepstake with no winners,https://www.bbc.co.uk/news/business-62207022?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 08:08:39 GMT",Thousands of victims enticed to pay a fee for a cash prize that never came will now get some good news.,business,49
Netflix trials charging $2.99 for shared accounts,https://www.bbc.co.uk/news/business-62226905?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 16:14:47 GMT",The streaming service is looking for new ways to make money as it loses subscribers.,business,50
EU told to prepare for Russian gas shut-off,https://www.bbc.co.uk/news/business-62230201?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 14:37:21 GMT","Countries urged to cut use by 15% until March, with the target becoming mandatory if Russia halts supplies.",business,51
Sizewell C nuclear plant gets go-ahead from government,https://www.bbc.co.uk/news/uk-england-suffolk-62235221?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 16:12:37 GMT",The Sizewell C plant is expected to cost £20bn and could provide the UK with 7% of its electricity.,business,52
Samsung did not break rules over woman running at 2am advert,https://www.bbc.co.uk/news/newsbeat-62221314?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 11:53:35 GMT","People complained that the ""irresponsible"" smart watch advert encouraged unsafe behaviour.",business,53
US seizes stolen funds from suspected North Korean hackers,https://www.bbc.co.uk/news/technology-62239638?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 13:16:29 GMT",The Department of Justice has already returned ransom payments to two hospitals.,business,54
Trains cancelled and delayed after heatwave damage,https://www.bbc.co.uk/news/business-62234461?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 16:12:31 GMT",Disruption has continued on Wednesday as repair work takes place across the UK's rail network.,business,55
Twitter-Musk takeover dispute heading for October trial,https://www.bbc.co.uk/news/world-us-canada-62058387?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 19:56:31 GMT",Twitter hopes that the trial will end with a court order for Musk to complete a $44bn takeover bid.,business,56
Royal Mail workers vote to go on strike over pay,https://www.bbc.co.uk/news/business-62219565?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 19:33:02 GMT","If 115,000 staff strike, it could be the biggest ever action by the Communication Workers Union.",business,57
Luxury brand Manolo Blahnik wins right to use own name in China,https://www.bbc.co.uk/news/business-62232633?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 07:02:00 GMT",The UK-based luxury shoemaker has not operated in the world's second largest economy for over 20 years.,business,58
Could the Great Lakes solve US shipping woes?,https://www.bbc.co.uk/news/world-us-canada-62157479?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 00:19:06 GMT",Inland ports along the Great Lakes are helping to fill the gap in supply-chain disruption.,business,59
A mind-reading combat jet for the future,https://www.bbc.co.uk/news/business-62289737?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 23:25:30 GMT",The Tempest fighter jet will have artificial intelligence tech to monitor and help the pilot.,business,60
The tech helping to bring you your morning coffee,https://www.bbc.co.uk/news/business-62235741?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 23:15:44 GMT","How Brazil, the world's largest grower of coffee, is turning to technology to boost production.",business,61
